Comarca_Code,Comarca_Name,Prov_Name,CCAA_Name,Mun_Count,Avg_Pct_Missing,Max_Pct_Missing
1807.0,ALHAMA,Granada,Andalucía,2,73.22,78.57
2902.0,SERRANIA DE RONDA,Málaga,Andalucía,2,67.86,67.86
1006.0,NAVALMORAL DE LA MATA,Cáceres,Extremadura,2,64.28,67.86
1303.0,MANCHA,Ciudad Real,Castilla-La Mancha,2,10.71,10.71
1805.0,IZNALLOZ,Granada,Andalucía,2,66.08,67.86
601.0,ALBURQUERQUE,Badajoz,Extremadura,1,57.14,57.14
2503.0,ALTO URGEL,Lleida,Cataluña/Catalunya,1,7.14,7.14
2103.0,ANDEVALO ORIENTAL,Huelva,Andalucía,1,78.57,78.57
606.0,BADAJOZ,Badajoz,Extremadura,1,14.29,14.29
1105.0,CAMPO DE GIBRALTAR,Cádiz,Andalucía,1,78.57,78.57
204.0,CENTRO,Albacete,Castilla-La Mancha,1,14.29,14.29
1010.0,CORIA,Cáceres,Extremadura,1,46.43,46.43
1801.0,DE LA VEGA,Granada,Andalucía,1,64.29,64.29
811.0,BAIX LLOBREGAT,Barcelona,Cataluña/Catalunya,1,7.14,7.14
1901.0,CAMPIÑA,Guadalajara,Castilla-La Mancha,1,10.71,10.71
1403.0,CAMPIÑA BAJA,Córdoba,Andalucía,1,78.57,78.57
407.0,CAMPO DALIAS,Almería,Andalucía,1,67.86,67.86
3805.0,ISLA DE HIERRO,Santa Cruz de Tenerife,Canarias,1,39.29,39.29
4607.0,HUERTA DE VALENCIA,València/Valencia,Comunitat Valenciana,1,3.57,3.57
4802.0,GRAN BILBAO,Bizkaia,País Vasco/Euskadi,1,96.43,96.43
5001.0,EGEA DE LOS CABALLEROS,Zaragoza,Aragón,1,7.14,7.14
1404.0,LAS COLONIAS,Córdoba,Andalucía,1,78.57,78.57
1808.0,LA COSTA,Granada,Andalucía,1,78.57,78.57
3602.0,LITORAL,Pontevedra,Galicia,1,3.57,3.57
4105.0,LA CAMPIÑA,Sevilla,Andalucía,1,78.57,78.57
2901.0,NORTE O ANTEQUERA,Málaga,Andalucía,1,50.0,50.0
4806.0,ONDARROA,Bizkaia,País Vasco/Euskadi,1,32.14,32.14
4608.0,RIBERAS DEL JUCAR,València/Valencia,Comunitat Valenciana,1,25.0,25.0
1008.0,PLASENCIA,Cáceres,Extremadura,1,46.43,46.43
4003.0,SEGOVIA,Segovia,Castilla y León,1,14.29,14.29
2303.0,SIERRA DE SEGURA,Jaén,Andalucía,1,17.86,17.86
4336.0,TARRAGONES,Tarragona,Cataluña/Catalunya,1,50.0,50.0
5005.0,ZARAGOZA,Zaragoza,Aragón,1,35.71,35.71
